@relation window9

@attribute Bepipred numeric
@attribute Iupred numeric
@attribute Seg {0,1}
@attribute Tmhmm {0,1,2,3}
@attribute True_epitope {0,1}

@data
-0.972111,0.207856,0,0,0
-1.006111,0.055122,0,0,0
0.603889,0.340967,0,0,0
0.011222,0.094833,0,0,0
0.045333,0.167367,0,0,0
-1.200889,0.159789,0,0,0
0.477,0.420889,0,0,0
1.242444,0.593322,1,0,0
0.512667,0.317822,0,0,0
-2.433111,0.005756,1,0,0
-0.020778,0.420833,0,0,0
-0.55,0.454867,0,0,0
0.803889,0.454456,0,0,0
1.067444,0.638844,1,0,0
0.906444,0.206956,0,0,0
0.821222,0.448067,1,0,0
1.777667,0.891667,1,0,0
2.483222,0.990622,0,0,0
-0.6,0.090333,0,0,0
-0.183444,0.012644,0,0,0
0.749333,0.203467,0,0,0
0.694889,0.3913,0,0,0
0.630222,0.284944,0,0,0
1.204667,0.3746,0,0,0
0.321222,0.834311,0,0,0
0.234,0.154289,0,0,0
0.991111,0.733956,1,0,0
-0.498889,0.061633,0,0,0
0.250111,0.567689,1,0,0
0.466111,0.434144,0,0,0
1.312444,0.674167,1,0,0
-0.690111,0.017344,0,0,0
-1.214889,0.103889,0,0,0
1.215111,0.2935,0,0,0
-1.466889,0.200833,0,0,0
1.095,0.399133,1,2,0
-0.328222,0.183689,0,0,0
0.124111,0.567489,1,2,0
-0.329778,0.078722,0,0,1
1.796222,0.869333,0,0,0
-1.586889,0.012,0,0,0
-1.711778,0.047767,0,0,0
-0.170222,0.4203,0,0,0
1.307667,0.806467,1,2,0
-0.005,0.173244,0,0,1
-0.455667,0.3437,0,0,0
1.378333,0.845789,0,2,0
0.281778,0.576389,0,0,0
-0.445111,0.441656,1,0,0
0.738889,0.136333,0,0,0
2.205556,0.979033,1,0,0
0.791444,0.751889,1,0,0
-0.269889,0.320367,0,0,0
0.810444,0.196033,0,0,0
0.553333,0.743656,0,0,0
-1.563778,0.038222,0,0,0
