@relation window9

@attribute Bepipred numeric
@attribute Iupred numeric
@attribute Seg {0,1}
@attribute Tmhmm {0,1,2,3}
@attribute True_epitope {0,1}

@data
-0.111444,0.599211,0,0,0
-2.429889,0.002978,1,0,0
0.534111,0.441767,0,0,0
1.604222,0.521544,0,0,0
1.845778,0.885445,1,0,0
0.212222,0.503967,0,0,0
-0.565333,0.549833,0,0,0
1.499111,0.750833,0,0,0
0.778444,0.604611,1,0,0
-0.158778,0.409044,0,0,0
1.323778,0.527756,0,2,0
-0.201222,0.2163,0,2,0
-1.133,0.2328,0,0,0
0.241667,0.097033,0,0,0
1.557444,0.682267,1,2,0
-0.015667,0.293267,0,0,0
-0.080778,0.092133,0,0,0
-0.866667,0.420633,0,0,0
-2.173111,0.019733,1,0,0
2.949555,0.993611,1,0,0
1.217667,0.897533,0,0,0
1.661556,0.525578,0,0,0
0.074333,0.190078,0,0,0
0.969,0.637022,1,0,0
0.852222,0.0237,0,0,0
2.276222,0.990111,1,0,0
-0.339444,0.016322,0,0,0
1.390445,0.698311,1,0,0
0.314222,0.232778,0,0,0
-0.235667,0.238178,0,0,0
0.258444,0.480333,0,3,0
0.691111,0.698322,1,0,0
1.004,0.5302,0,0,0
-1.129667,0.0362,1,0,0
0.349667,0.263922,0,0,0
1.038333,0.486356,0,0,0
-0.815889,0.348278,0,0,0
1.738,0.9029,1,0,0
-2.403111,0.044611,0,0,0
-0.563222,0.332722,0,0,0
-0.541111,0.145922,0,0,0
2.182,0.940967,1,0,0
-2.730333,0.003111,0,0,0
0.053556,0.571922,0,0,0
-0.987,0.059311,0,0,0
0.339889,0.761389,0,0,0
0.853333,0.420456,0,0,0
-0.232556,0.302522,0,0,0
0.306556,0.413789,1,0,1
-0.152556,0.310111,0,0,0
2.296222,0.861978,1,0,0
0.445111,0.425367,0,0,0
0.666778,0.451244,1,0,0
0.766667,0.592211,1,0,0
-0.804333,0.087256,0,0,0
0.459,0.401567,0,0,0
-1.807111,0.016778,0,0,0
-0.617555,0.034189,0,0,0
0.808667,0.261656,0,0,1
-0.070222,0.377844,0,0,0
-0.537222,0.317944,0,0,0
-0.407667,0.1529,0,0,0
1.355111,0.831311,1,0,0
-0.161444,0.034189,0,0,0
0.051556,0.367589,1,0,0
0.393889,0.376222,0,0,0
0.031,0.5901,0,0,0
-0.528111,0.471544,0,0,0
0.586778,0.402467,0,0,0
2.082555,0.972678,1,0,0
-0.266889,0.113522,0,0,0
0.845,0.419778,0,0,0
0.029889,0.619367,0,0,0
-0.298444,0.257067,0,0,0
0.552667,0.661867,0,0,0
-0.804333,0.098678,0,0,0
0.138,0.3563,0,0,0
1.322778,0.922022,1,0,0
0.733,0.348,0,0,0
1.574222,0.5587,1,0,0
-0.717889,0.164233,0,0,0
0.367222,0.126822,0,0,0
2.281667,0.986978,1,0,0
0.389667,0.114422,0,0,0
-0.174667,0.301578,0,0,0
0.040111,0.297478,0,0,0
1.604111,0.723756,0,0,0
-0.322333,0.308622,0,0,0
-0.291,0.281378,0,0,0
-0.806889,0.019211,0,0,0
-0.770889,0.177467,0,0,0
-0.425222,0.654089,0,0,0
-0.431111,0.011511,1,0,0
0.248889,0.4761,0,0,0
-0.044667,0.487556,0,0,0
-0.032444,0.260089,0,0,0
0.992111,0.715789,0,0,0
1.948445,0.835922,1,0,0
-0.49,0.093344,0,0,0
0.152111,0.272233,0,0,0
